,STATION,LINENAME,ENTRIES,PREV_ENTRIES,DAILY_ENTRIES,ZipCode,aged,disabled,aged_scaled,disabled_scaled,entries_scaled,Neediness
29,2 AV,F,12302761442,12301342040,1419402,10002,23825.0,24260.0,0.8235111126473333,1.0,0.11393288725066782,0.6458146666326671
81,EAST BROADWAY,F,13818349792,13817246360,1103432,10002,23825.0,24260.0,0.8235111126473333,1.0,0.08857053438333812,0.6373605490102238
67,BOWERY,JZ,1541058079,1540687340,370739,10002,23825.0,24260.0,0.8235111126473333,1.0,0.029758563596800156,0.6177565587480445
3,103 ST,6,4361693836,4360641193,1052643,10025,28931.0,17545.0,1.0,0.72320692497939,0.08449379121221805,0.6025669053972027
2,103 ST,1,5901511168,5900529796,981372,10025,28931.0,17545.0,1.0,0.72320692497939,0.0787729941390546,0.6006599730394816
65,96 ST,6,66002402621,66001031830,1370791,10029,18966.0,24241.0,0.6555597801666033,0.9992168178070898,0.1100309682861023,0.5882691887532652
1,103 ST,BC,2747657700,2747271218,386482,10025,28931.0,17545.0,1.0,0.72320692497939,0.031022226353360497,0.5847430504442502
4,110 ST,6,3525627318,3524765893,861425,10029,18966.0,24241.0,0.6555597801666033,0.9992168178070898,0.06914506066632746,0.5746405528800069
64,96 ST,BC,2759062077,2758266307,795770,10029,18966.0,24241.0,0.6555597801666033,0.9992168178070898,0.06387504997700716,0.5728838826502335
23,168 ST,AC1,6709367361,6707824970,1542391,10032,14424.0,18119.0,0.4985655525215167,0.7468672712283594,0.12380499668131,0.4564126068103953
22,163 ST-AMSTERDM,C,1781396689,1781036204,360485,10032,14424.0,18119.0,0.4985655525215167,0.7468672712283594,0.028935493158778827,0.4247894389695516
85,GRD CNTRL-42 ST,4567S,226865326108,226858284997,12458229,10017,4720.0,1938.0,0.16314679755279804,0.07988458367683429,1.0,0.4143437937432108
52,59 ST COLUMBUS,1ABCD,95638201218,95636994494,1206724,10023,21116.0,9738.0,0.7298745290518821,0.401401483924155,0.09686160047306884,0.40937920448303533
26,181 ST,1,3345058744,3344147969,910775,10033,14882.0,15222.0,0.5143963222840552,0.6274525968672712,0.07310629785341079,0.4049850723349124
25,181 ST,A,5799926889,5799091720,835169,10033,14882.0,15222.0,0.5143963222840552,0.6274525968672712,0.06703753799998378,0.40296215238377003
0,1 AV,L,108210509971,108209211800,1298171,10009,13667.0,13695.0,0.4723998479140023,0.5645094806265457,0.10420188936966883,0.38037040597007227
16,145 ST,ABCD,10532589724,10530627025,1962699,10031,13199.0,12668.0,0.45622342815664857,0.5221764220939819,0.15754237620772582,0.378647408819452
41,34 ST-HERALD SQ,BDFMNQRW,416207405402,416198616451,9979861,10001,5297.0,3475.0,0.18309080225363797,0.143239901071723,0.8010657855141369,0.37579882961316596
58,79 ST,1,3500880266,3499690539,1189727,10024,19019.0,8657.0,0.6573917251391241,0.35684253915910963,0.0954972813551589,0.36991051521779755
61,81 ST-MUSEUM,BC,4156227303,4155116333,1110970,10024,19019.0,8657.0,0.6573917251391241,0.35684253915910963,0.08917559630666606,0.36780328686829994
12,137 ST CITY COL,1,5824011627,5822960225,1051402,10031,13199.0,12668.0,0.45622342815664857,0.5221764220939819,0.08439417833786808,0.35426467619616614
99,14 ST-UNION SQ,LNQR456W,17715382997,17713652332,5577067,10003,11020.0,5624.0,0.3809062942864056,0.23182192910140148,0.4476613008157098,0.3534631747345056
17,145 ST,1,74091606691,74090837693,768998,10031,13199.0,12668.0,0.45622342815664857,0.5221764220939819,0.06172610890360099,0.34670865305141046
8,116 ST-COLUMBIA,1,109346845797,109345545875,1299922,10027,12631.0,11386.0,0.4365905084511424,0.46933223413025554,0.10434243904169686,0.3367550605410316
10,125 ST,23,226436618298,226435746719,1217065,10027,12631.0,11386.0,0.4365905084511424,0.46933223413025554,0.09769165424716467,0.33453813227618756
18,145 ST,3,1333200594,1332932353,268241,10031,13199.0,12668.0,0.45622342815664857,0.5221764220939819,0.021531230482278018,0.3333103602443028
34,23 ST,FM,279742828485,279740801145,2427484,10011,13260.0,7709.0,0.4583318931250216,0.31776586974443527,0.19484984583282264,0.3236492029007598
9,125 ST,1,59404208111,59403559920,648191,10027,12631.0,11386.0,0.4365905084511424,0.46933223413025554,0.05202914475243632,0.31931729577794477
13,14 ST,123FLM,136127995794,136126624369,2160903,10011,13260.0,7709.0,0.4583318931250216,0.31776586974443527,0.17345186061357518,0.3165165411610107
32,23 ST,NRW,14019555925,14018138632,2084625,10011,13260.0,7709.0,0.4583318931250216,0.31776586974443527,0.16732916050909002,0.31447564112618226
33,23 ST,CE,20008254244,20179131227,1872824,10011,13260.0,7709.0,0.4583318931250216,0.31776586974443527,0.15032826896985116,0.30880867727976935
59,8 AV,ACEL,12188020316,12186161624,1858692,10011,13260.0,7709.0,0.4583318931250216,0.31776586974443527,0.14919391833301507,0.308430560400824
54,68ST-HUNTER CO,6,6807401943,6805487048,1914895,10021,15250.0,5634.0,0.5271162420932564,0.23223413025556472,0.15370523370536857,0.3043518686847299
14,14 ST,FLM123,5106356915,5104832822,1524093,10011,13260.0,7709.0,0.4583318931250216,0.31776586974443527,0.12233624859520563,0.29947800382155415
51,59 ST,456NQRW,151409177842,152109352062,3328368,10022,12087.0,4602.0,0.4177871487331928,0.1896949711459192,0.2671622106159712,0.29154811016502774
35,23 ST,1,2477874323,2476675080,1199243,10011,13260.0,7709.0,0.4583318931250216,0.31776586974443527,0.09626111383889316,0.2907862922361167
6,116 ST,6,2748222208,2747401938,1545564,10035,8515.0,10825.0,0.2943209705851854,0.44620774938169827,0.12405968777745216,0.2881961359147786
28,191 ST,1,585232902,584619879,613023,10040,12010.0,9692.0,0.41512564377311534,0.39950535861500414,0.049206271613726156,0.2879457580006152
27,190 ST,A,130850434643,130850348718,410733,10040,12010.0,9692.0,0.41512564377311534,0.39950535861500414,0.03296881121706785,0.2825332712017291
83,FULTON ST,2345ACJZ,141641492745,141637040253,5303970,10038,6151.0,4893.0,0.21260931181086032,0.20169002473206926,0.42574028780495204,0.28001320811596053
7,116 ST,23,2694787170,2694274635,1223427,10035,8515.0,10825.0,0.2943209705851854,0.44620774938169827,0.09820232073114084,0.2795770135660082
48,50 ST,1,7985770577,7983718595,2051982,10019,10479.0,7301.0,0.3622066295669006,0.3009480626545754,0.16470896465300164,0.2759545522914925
30,207 ST,1,14395618037,14395235027,626818,10034,10983.0,9624.0,0.37962738930558915,0.39670239076669417,0.05031357185680244,0.27554778397636187
80,DYCKMAN ST,A,2894751485,2894181404,570081,10034,10983.0,9624.0,0.37962738930558915,0.39670239076669417,0.045759393249233095,0.27402972444050544
56,72 ST,BC,2129268409,2128503548,764861,10021,15250.0,5634.0,0.5271162420932564,0.23223413025556472,0.061394039233024215,0.27358147052728177
15,14 ST-UNION SQ,456LNQRW,6929928412,6927339998,2588414,10003,11020.0,5624.0,0.3809062942864056,0.23182192910140148,0.2077674122060206,0.27349854519794253
90,MARBLE HILL-225,1,697351313,698387151,414035,10034,10983.0,9624.0,0.37962738930558915,0.39670239076669417,0.033233856914975636,0.2698545456624196
53,6 AV,FLM123,110323108488,110323085885,413003,10011,13260.0,7709.0,0.4583318931250216,0.31776586974443527,0.03315102010085061,0.2697495943234358
69,CANAL ST,JNQRZ6W,275657025992,275653725771,3935409,10013,8071.0,5060.0,0.27897411081538837,0.2085737840065952,0.31588831767340286,0.2678120708317955
5,116 ST,BC,32702585905,32701985248,600657,10035,8515.0,10825.0,0.2943209705851854,0.44620774938169827,0.0482136746723792,0.262914131546421
55,7 AV,BDE,3536868087,3535479555,1388532,10019,10479.0,7301.0,0.3622066295669006,0.3009480626545754,0.11145500696768378,0.2582032330630532
49,57 ST,F,3193484310,3192195199,1289111,10019,10479.0,7301.0,0.3622066295669006,0.3009480626545754,0.10347465919915262,0.25554311714020955
63,86 ST,1,6078539422,6077117695,1421727,10028,13422.0,4568.0,0.46393142304102863,0.18829348722176423,0.11411951088714134,0.2554481403833114
46,5 AV/53 ST,EM,9509816879,9507900511,1916368,10022,12087.0,4602.0,0.4177871487331928,0.1896949711459192,0.1538234688092505,0.2537685295627875
60,8 ST-NYU,NRW,9834527933,9833122593,1405340,10003,11020.0,5624.0,0.3809062942864056,0.23182192910140148,0.1128041553899836,0.24184412625926355
62,86 ST,BC,2437442751,2436545442,897309,10028,13422.0,4568.0,0.46393142304102863,0.18829348722176423,0.07202540585824839,0.24141677204034706
66,ASTOR PL,6,2572775464,2588695654,1377358,10003,11020.0,5624.0,0.3809062942864056,0.23182192910140148,0.11055808975738045,0.2410954377150625
45,5 AVE,7BDFM,22762423850,23753048625,1201027,10022,12087.0,4602.0,0.4177871487331928,0.1896949711459192,0.09640431236253563,0.2346288107472159
72,CATHEDRAL PKWY,1,1846625682,1845633387,992295,10022,12087.0,4602.0,0.4177871487331928,0.1896949711459192,0.07964976402344186,0.22904396130085128
74,CENTRAL PK N110,23,33733685457,33733004899,680558,10026,8506.0,8112.0,0.2940098855898517,0.33437757625721354,0.0546271865768401,0.2276715494746351
89,59 ST,NRW,1350710638,1349769657,940981,10022,12087.0,4602.0,0.4177871487331928,0.1896949711459192,0.0755308800311826,0.2276709999700982
11,135 ST,BC,18639633128,18639350338,688126,10030,7110.0,9215.0,0.24575714631364282,0.37984336356141796,0.05523465654709028,0.22694505547405033
76,CHAMBERS ST,ACE23,175021325858,175021923711,2183193,10013,8071.0,5060.0,0.27897411081538837,0.2085737840065952,0.17524103947679884,0.22092964476626079
73,CATHEDRAL PKWY,BC,8351240895,8350603337,637558,10022,12087.0,4602.0,0.4177871487331928,0.1896949711459192,0.05117565265496404,0.21955259084469203
42,34 ST-PENN STA,123ACE,176952641634,176958739415,3986023,10001,5297.0,3475.0,0.18309080225363797,0.143239901071723,0.3199510139041432,0.21542723907650138
38,3 AV,L,2334083753,2333667304,416449,10003,11020.0,5624.0,0.3809062942864056,0.23182192910140148,0.03342762442398514,0.21538528260393075
75,CHAMBERS ST,JZ456,7543322459,7547937822,1751258,10013,8071.0,5060.0,0.27897411081538837,0.2085737840065952,0.14057038123155385,0.20937275868451247
70,CANAL ST,ACE,86865726382,86864065093,1661289,10013,8071.0,5060.0,0.27897411081538837,0.2085737840065952,0.13334872877998952,0.2069655412006577
84,FULTON ST,ACJZ2345,285343602498,285341286072,2316426,10038,6151.0,4893.0,0.21260931181086032,0.20169002473206926,0.18593541666315494,0.20007825106869484
71,CANAL ST,1,1214606976,1214673988,1094968,10013,8071.0,5060.0,0.27897411081538837,0.2085737840065952,0.08789114407834372,0.19181301296677578
101,WALL ST,45,42717492240,42716505558,1849328,10038,6151.0,4893.0,0.21260931181086032,0.20169002473206926,0.1484422866203535,0.1875805410544277
57,77 ST,6,23524582686,23522541086,2041600,10075,7999.0,2893.0,0.27648543085271854,0.11924979389942292,0.16387561988144542,0.18653694821119562
100,WALL ST,23,10504197476,10502446154,1751322,10038,6151.0,4893.0,0.21260931181086032,0.20169002473206926,0.1405755183983213,0.18495828498041697
43,34 ST-PENN STA,123,18723800228,18721181156,2736766,10001,5297.0,3475.0,0.18309080225363797,0.143239901071723,0.2196753647729545,0.18200202269943846
47,5 AV/59 ST,NQRW,12876331822,12875085214,1246608,10065,9214.0,2845.0,0.3184819052227714,0.1172712283594394,0.100063018587955,0.1786053840567219
78,CITY HALL,NRW,30123305561,30122870111,435450,10013,8071.0,5060.0,0.27897411081538837,0.2085737840065952,0.03495280107630065,0.17416689863276139
97,TIMES SQ-42 ST,1237ACENQRSW,506048173890,506043449802,5186698,10018,1339.0,921.0,0.046282534305761985,0.037963726298433635,0.4163270718494579,0.1668577774845512
79,DELANCEY/ESSEX,FJMZ,6832262457,6830297155,2747176,10012,5252.0,2307.0,0.18153537727696933,0.09509480626545755,0.22051095705497145,0.1657137135324661
87,HARLEM 148 ST,3,1050782409,1050481944,300465,10039,6223.0,6169.0,0.21509799177353012,0.2542868920032976,0.024117793949685787,0.16450089257550451
77,CHRISTOPHER ST,1,3809280219,3807940921,1339298,10014,7678.0,2914.0,0.265390066019149,0.1201154163231657,0.10750308089536643,0.1643361877458937
88,HOUSTON ST,1,3372533374,3376172684,1137830,10014,7678.0,2914.0,0.265390066019149,0.1201154163231657,0.09133160098437748,0.15894569444223072
40,34 ST-HUDSON YD,7,1757207101,1758728650,1781609,10001,5297.0,3475.0,0.18309080225363797,0.143239901071723,0.14300660230278317,0.15644576854271472
86,GRAND ST,BD,27226794534,27225084362,2406560,10017,4720.0,1938.0,0.16314679755279804,0.07988458367683429,0.19317031337279159,0.14540056486747463
37,28 ST,1,3986075205,3988691294,1166734,10001,5297.0,3475.0,0.18309080225363797,0.143239901071723,0.09365167392572411,0.1399941257503617
36,28 ST,NRW,3184504629,3183527287,977342,10001,5297.0,3475.0,0.18309080225363797,0.143239901071723,0.07844951316916714,0.13492673883150938
95,SPRING ST,CE,32783498625,32782368947,1129678,10012,5252.0,2307.0,0.18153537727696933,0.09509480626545755,0.09067725436737437,0.12243581263660042
92,PRINCE ST,NRW,6602786729,6601720748,1065981,10012,5252.0,2307.0,0.18153537727696933,0.09509480626545755,0.08556440887384555,0.12073153080542413
44,42 ST-BRYANT PK,BDFM7,183425635315,183192324471,3424411,10018,1339.0,921.0,0.046282534305761985,0.037963726298433635,0.2748714123010582,0.11970589096841795
96,SPRING ST,6,3220184760,3224653539,922902,10012,5252.0,2307.0,0.18153537727696933,0.09509480626545755,0.07407971068761057,0.11690329807667914
39,33 ST,6,138942743023,138940806138,2200001,10018,1339.0,921.0,0.046282534305761985,0.037963726298433635,0.17659018789909867,0.08694548283443143
98,TIMES SQ-42 ST,ACENQRS1237W,2493827302,2492658181,1169121,10018,1339.0,921.0,0.046282534305761985,0.037963726298433635,0.0938432741925036,0.05936317826556641
21,157 ST,1,2142497183,2164072058,979689,10018,1339.0,921.0,0.046282534305761985,0.037963726298433635,0.07863790270671699,0.05429472110363753
24,18 ST,1,10632003265,10529067353,898260,10018,1339.0,921.0,0.046282534305761985,0.037963726298433635,0.07210174094568338,0.05211600051662633
94,RECTOR ST,1,1469950155,1440263437,731973,10018,1339.0,921.0,0.046282534305761985,0.037963726298433635,0.05875417766040422,0.047666812754866617
102,WHITEHALL S-FRY,R1W,25426852740,25425494478,1358262,10004,540.0,169.0,0.018665099720023504,0.006966199505358615,0.1090252876231445,0.044885528949508875
93,RECTOR ST,NRW,13141018517,13140507765,510752,10018,1339.0,921.0,0.046282534305761985,0.037963726298433635,0.0409971593875823,0.041747806663925975
82,FRANKLIN ST,1,2540884517,2540442008,442509,10018,1339.0,921.0,0.046282534305761985,0.037963726298433635,0.03551941451710351,0.03992189170709971
20,155 ST,BD,2015951261,2015653704,297557,10018,1339.0,921.0,0.046282534305761985,0.037963726298433635,0.023884373934690076,0.03604354484629523
19,155 ST,C,1479960900,1479730260,230640,10018,1339.0,921.0,0.046282534305761985,0.037963726298433635,0.01851306473817426,0.03425310844745663
31,215 ST,1,703569282,703415343,153939,10018,1339.0,921.0,0.046282534305761985,0.037963726298433635,0.012356411172085534,0.032200890592093724
68,BROAD ST,JZ,1645466543,1644864939,601604,10005,669.0,154.0,0.02312398465314023,0.006347897774113768,0.04828968868689121,0.02592052370471507
91,PARK PLACE,23ACE,890401932,890174238,227694,10007,1231.0,170.0,0.04254951436175729,0.007007419620774938,0.018276594530410382,0.02261117617098087
