Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label
119,119,L06,BMT,Canarsie,1 Av,M,L,Subway,40.730953,-73.981628,8 Av,Brooklyn
156,156,A18,IND,8th Av - Fulton St,103 St,M,B C,Subway,40.796092,-73.961454,Uptown & The Bronx,Downtown & Brooklyn
309,309,119,IRT,Broadway - 7Av,103 St,M,1,Subway,40.799446,-73.968379,Uptown & The Bronx,Downtown
395,395,624,IRT,Lexington Av,103 St,M,6,Subway,40.7906,-73.947478,Uptown & The Bronx,Downtown
394,394,623,IRT,Lexington Av,110 St,M,6,Subway,40.79502,-73.94425,Uptown & The Bronx,Downtown
154,154,A16,IND,8th Av - Fulton St,116 St,M,B C,Subway,40.805085,-73.954882,Uptown & The Bronx,Downtown & Brooklyn
393,393,622,IRT,Lexington Av,116 St,M,6,Subway,40.798629,-73.94161700000001,Uptown & The Bronx,Downtown
440,440,226,IRT,Lenox - White Plains Rd,116 St,M,2 3,Subway,40.802098,-73.949625,Uptown & The Bronx,Downtown & Brooklyn
307,307,117,IRT,Broadway - 7Av,116 St - Columbia University,M,1,Subway,40.807722,-73.96410999999999,Uptown & The Bronx,Downtown
306,306,116,IRT,Broadway - 7Av,125 St,M,1,Elevated,40.815581,-73.958372,Uptown & The Bronx,Downtown
439,439,225,IRT,Lenox - White Plains Rd,125 St,M,2 3,Subway,40.807753999999996,-73.945495,Uptown & The Bronx,Downtown & Brooklyn
152,152,A14,IND,8th Av - Fulton St,135 St,M,B C,Subway,40.817894,-73.947649,Uptown & The Bronx,Downtown & Brooklyn
305,305,115,IRT,Broadway - 7Av,137 St - City College,M,1,Subway,40.822008000000004,-73.953676,Uptown & The Bronx,Downtown
229,601,D19,IND,6th Av - Culver,14 St,M,F M,Subway,40.738228,-73.996209,Uptown & Queens,Downtown & Brooklyn
322,601,132,IRT,Broadway - 7Av,14 St,M,1 2 3,Subway,40.737826,-74.000201,Uptown & The Bronx,Downtown & Brooklyn
406,602,635,IRT,Lexington Av,14 St - Union Sq,M,4 5 6,Subway,40.734673,-73.989951,Uptown & The Bronx,Downtown & Brooklyn
151,151,A12,IND,8th Av - Fulton St,145 St,M,A C,Subway,40.824783000000004,-73.944216,Uptown & The Bronx,Downtown & Brooklyn
151,151,D13,IND,Concourse,145 St,M,B D,Subway,40.824783000000004,-73.944216,Uptown & The Bronx,Downtown & Brooklyn
304,304,114,IRT,Broadway - 7Av,145 St,M,1,Subway,40.826551,-73.95036,Uptown & The Bronx,Downtown
437,437,302,IRT,Lenox - White Plains Rd,145 St,M,3,Subway,40.820421,-73.936245,148 St,Downtown & Brooklyn
150,150,A11,IND,8th Av - Fulton St,155 St,M,C,Subway,40.830518,-73.941514,Uptown,Downtown & Brooklyn
220,220,D12,IND,Concourse,155 St,M,B D,Subway,40.830135,-73.938209,The Bronx,Downtown & Brooklyn
303,303,113,IRT,Broadway - 7Av,157 St,M,1,Subway,40.834041,-73.94489,Uptown & The Bronx,Downtown
149,149,A10,IND,8th Av - Fulton St,163 St - Amsterdam Av,M,C,Subway,40.836013,-73.939892,Uptown,Downtown & Brooklyn
302,605,112,IRT,Broadway - 7Av,168 St - Washington Hts,M,1,Subway,40.840556,-73.94013299999999,Uptown & The Bronx,Downtown
321,321,131,IRT,Broadway - 7Av,18 St,M,1,Subway,40.741040000000005,-73.99787099999999,Uptown & The Bronx,Downtown
146,146,A06,IND,8th Av - Fulton St,181 St,M,A,Subway,40.851695,-73.937969,207 St,Downtown & Brooklyn
301,301,111,IRT,Broadway - 7Av,181 St,M,1,Subway,40.849505,-73.933596,Uptown & The Bronx,Downtown
145,145,A05,IND,8th Av - Fulton St,190 St,M,A,Subway,40.859021999999996,-73.93418,207 St,Downtown & Brooklyn
300,300,110,IRT,Broadway - 7Av,191 St,M,1,Subway,40.855225,-73.929412,Uptown & The Bronx,Downtown
232,232,F14,IND,6th Av - Culver,2 Av,M,F,Subway,40.723402,-73.989938,Uptown & Queens,Downtown & Brooklyn
298,298,108,IRT,Broadway - 7Av,207 St,M,1,Elevated,40.864621,-73.91882199999999,Uptown & The Bronx,Downtown
297,297,107,IRT,Broadway - 7Av,215 St,M,1,Elevated,40.869444,-73.915279,The Bronx,Downtown
14,14,R19,BMT,Broadway - Brighton,23 St,M,R W,Subway,40.741303,-73.98934399999999,Uptown & Queens,Downtown & Brooklyn
165,165,A30,IND,8th Av - Fulton St,23 St,M,C E,Subway,40.745906,-73.998041,Uptown - Queens,Downtown & Brooklyn
228,228,D18,IND,6th Av - Culver,23 St,M,F M,Subway,40.742878000000005,-73.99282099999999,Uptown & Queens,Downtown & Brooklyn
320,320,130,IRT,Broadway - 7Av,23 St,M,1,Subway,40.744081,-73.995657,Uptown & The Bronx,Downtown
13,13,R18,BMT,Broadway - Brighton,28 St,M,R W,Subway,40.745494,-73.988691,Uptown & Queens,Downtown & Brooklyn
319,319,129,IRT,Broadway - 7Av,28 St,M,1,Subway,40.747215000000004,-73.993365,Uptown & The Bronx,Downtown
118,118,L05,BMT,Canarsie,3 Av,M,L,Subway,40.732849,-73.986122,8 Av,Brooklyn
403,403,632,IRT,Lexington Av,33 St,M,6,Subway,40.746081,-73.982076,Uptown & The Bronx,Downtown
471,471,726,IRT,Flushing,34 St - 11 Av,M,7,Subway,40.755882,-74.00191,Queens,
227,607,D17,IND,6th Av - Culver,34 St - Herald Sq,M,B D F M,Subway,40.749719,-73.98782299999999,Uptown & The Bronx - Queens,Downtown & Brooklyn
318,318,128,IRT,Broadway - 7Av,34 St - Penn Station,M,1 2 3,Subway,40.750372999999996,-73.991057,Uptown & The Bronx,Downtown & Brooklyn
226,609,D16,IND,6th Av - Culver,42 St - Bryant Pk,M,B D F M,Subway,40.754222,-73.984569,Uptown & The Bronx - Queens,Downtown & Brooklyn
466,609,724,IRT,Flushing,5 Av,M,7,Subway,40.753821,-73.98196300000001,Queens,34 St - Hudson Yards
276,276,F12,IND,Queens Blvd,5 Av/53 St,M,E M,Subway,40.760166999999996,-73.975224,Queens,Downtown & Brooklyn
8,8,R13,BMT,Astoria,5 Av/59 St,M,N W R,Subway,40.764811,-73.973347,Queens,Downtown & Brooklyn
316,316,126,IRT,Broadway - 7Av,50 St,M,1,Subway,40.761728000000005,-73.98384899999999,Uptown & The Bronx,Downtown
224,224,B10,IND,6th Av - Culver,57 St,M,F,Subway,40.763971999999995,-73.97745,Uptown & Queens,Downtown & Brooklyn
9,9,R14,BMT,Broadway - Brighton,57 St - 7 Av,M,N Q R W,Subway,40.764664,-73.98065799999999,Uptown & Queens,Downtown & Brooklyn
400,613,629,IRT,Lexington Av,59 St,M,4 5 6,Subway,40.762526,-73.967967,Uptown & The Bronx,Downtown & Brooklyn
315,614,125,IRT,Broadway - 7Av,59 St - Columbus Circle,M,1,Subway,40.768246999999995,-73.98192900000001,Uptown & The Bronx,Downtown
116,601,L02,BMT,Canarsie,6 Av,M,L,Subway,40.737334999999995,-73.996786,8 Av,Brooklyn
399,399,628,IRT,Lexington Av,68 St - Hunter College,M,6,Subway,40.768141,-73.96387,Uptown & The Bronx,Downtown
277,277,D14,IND,Queens Blvd,7 Av,M,B D E,Subway,40.762862,-73.981637,Uptown & The Bronx - Queens,Downtown & Brooklyn
160,160,A22,IND,8th Av - Fulton St,72 St,M,B C,Subway,40.775594,-73.97641,Uptown & The Bronx,Downtown & Brooklyn
398,398,627,IRT,Lexington Av,77 St,M,6,Subway,40.77362,-73.959874,Uptown & The Bronx,Downtown
312,312,122,IRT,Broadway - 7Av,79 St,M,1,Subway,40.783934,-73.979917,Uptown & The Bronx,Downtown
115,618,L01,BMT,Canarsie,8 Av,M,L,Subway,40.739777000000004,-74.002578,,Brooklyn
16,16,R21,BMT,Broadway - Brighton,8 St - NYU,M,R W,Subway,40.730328,-73.99262900000001,Uptown & Queens,Downtown & Brooklyn
159,159,A21,IND,8th Av - Fulton St,81 St - Museum of Natural History,M,B C,Subway,40.781433,-73.972143,Uptown & The Bronx,Downtown & Brooklyn
158,158,A20,IND,8th Av - Fulton St,86 St,M,B C,Subway,40.785868,-73.96891600000001,Uptown & The Bronx,Downtown & Brooklyn
311,311,121,IRT,Broadway - 7Av,86 St,M,1,Subway,40.788644,-73.976218,Uptown & The Bronx,Downtown
157,157,A19,IND,8th Av - Fulton St,96 St,M,B C,Subway,40.791641999999996,-73.96469599999999,Uptown & The Bronx,Downtown & Brooklyn
396,396,625,IRT,Lexington Av,96 St,M,6,Subway,40.785672,-73.95107,Uptown & The Bronx,Downtown
407,407,636,IRT,Lexington Av,Astor Pl,M,6,Subway,40.730053999999996,-73.99107,Uptown & The Bronx,Downtown
103,103,M19,BMT,Jamaica,Bowery,M,J Z,Subway,40.720279999999995,-73.993915,Brooklyn,Broad St
107,107,M23,BMT,Jamaica,Broad St,M,J Z,Subway,40.706476,-74.01105600000001,Brooklyn,
18,623,R23,BMT,Broadway,Canal St,M,R W,Subway,40.719527,-74.001775,Uptown & Queens,Downtown & Brooklyn
19,623,Q01,BMT,Manhattan Bridge,Canal St,M,N Q,Subway,40.718383,-74.00046,Uptown & Queens,Downtown & Brooklyn
104,623,M20,BMT,Jamaica,Canal St,M,J Z,Subway,40.718092,-73.999892,Brooklyn,Broad St
169,169,A34,IND,8th Av - Fulton St,Canal St,M,A C E,Subway,40.720824,-74.005229,Uptown - Queens,Downtown & Brooklyn
325,325,135,IRT,Broadway - 7Av,Canal St,M,1,Subway,40.722854,-74.006277,Uptown & The Bronx,Downtown
308,308,118,IRT,Broadway - 7Av,Cathedral Pkwy,M,1,Subway,40.803967,-73.966847,Uptown & The Bronx,Downtown
155,155,A17,IND,8th Av - Fulton St,Cathedral Pkwy (110 St),M,B C,Subway,40.800603,-73.958161,Uptown & The Bronx,Downtown & Brooklyn
441,441,227,IRT,Lenox - White Plains Rd,Central Park North (110 St),M,2 3,Subway,40.799075,-73.95182199999999,Uptown & The Bronx,Downtown & Brooklyn
105,622,M21,BMT,Jamaica,Chambers St,M,J Z,Subway,40.713243,-74.003401,Brooklyn,Broad St
170,624,A36,IND,8th Av - Fulton St,Chambers St,M,A C,Subway,40.714110999999995,-74.008585,Uptown,Downtown & Brooklyn
323,323,133,IRT,Broadway - 7Av,Christopher St - Sheridan Sq,M,1,Subway,40.733422,-74.00290600000001,Uptown & The Bronx,Downtown
20,20,R24,BMT,Broadway,City Hall,M,R W,Subway,40.713282,-74.006978,Uptown & Queens,Downtown & Brooklyn
233,625,F15,IND,6th Av - Culver,Delancey St,M,F,Subway,40.718610999999996,-73.988114,Uptown & Queens,Downtown & Brooklyn
144,144,A03,IND,8th Av - Fulton St,Dyckman St,M,A,Subway,40.865491,-73.92727099999999,207 St,Downtown & Brooklyn
234,234,F16,IND,6th Av - Culver,East Broadway,M,F,Subway,40.713715,-73.990173,Uptown & Queens,Brooklyn
102,625,M18,BMT,Jamaica,Essex St,M,J M Z,Subway,40.718315000000004,-73.987437,Brooklyn,Broad St (JZ) - Uptown (M)
326,326,136,IRT,Broadway - 7Av,Franklin St,M,1,Subway,40.719318,-74.006886,Uptown & The Bronx,Downtown
172,628,A38,IND,8th Av - Fulton St,Fulton St,M,A C,Subway,40.710196999999994,-74.00769100000001,Uptown,Brooklyn
332,628,229,IRT,Clark St,Fulton St,M,2 3,Subway,40.709416,-74.006571,Uptown & The Bronx,Downtown & Brooklyn
412,628,418,IRT,Lexington Av,Fulton St,M,4 5,Subway,40.710368,-74.009509,Uptown & The Bronx,Downtown & Brooklyn
402,610,631,IRT,Lexington Av,Grand Central - 42 St,M,4 5 6,Subway,40.751776,-73.976848,Uptown & The Bronx,Downtown & Brooklyn
465,610,723,IRT,Flushing,Grand Central - 42 St,M,7,Subway,40.751431,-73.97604100000001,Queens,34 St - Hudson Yards
469,610,901,IRT,Lexington - Shuttle,Grand Central - 42 St,M,S,Subway,40.752769,-73.979189,Times Sq,
231,231,D22,IND,6th Av - Culver,Grand St,M,B D,Subway,40.718267,-73.993753,Uptown & The Bronx,Brooklyn
436,436,301,IRT,Lenox - White Plains Rd,Harlem - 148 St,M,3,Subway,40.823879999999996,-73.93647,,Downtown & Brooklyn
324,324,134,IRT,Broadway - 7Av,Houston St,M,1,Subway,40.728251,-74.005367,Uptown & The Bronx,Downtown
7,613,R11,BMT,Astoria,Lexington Av/59 St,M,N W R,Subway,40.76266,-73.967258,Queens,Downtown & Brooklyn
296,296,106,IRT,Broadway - 7Av,Marble Hill - 225 St,M,1,Elevated,40.874561,-73.90983100000001,242 St,Downtown
331,624,228,IRT,Clark St,Park Pl,M,2 3,Subway,40.713051,-74.008811,Uptown & The Bronx,Downtown & Brooklyn
17,17,R22,BMT,Broadway - Brighton,Prince St,M,R W,Subway,40.724329,-73.997702,Uptown & Queens,Downtown & Brooklyn
22,22,R26,BMT,Broadway,Rector St,M,R W,Subway,40.70722,-74.01334200000001,Uptown & Queens,Downtown & Brooklyn
329,329,139,IRT,Broadway - 7Av,Rector St,M,1,Subway,40.707513,-74.01378299999999,Uptown & The Bronx,Downtown
168,168,A33,IND,8th Av - Fulton St,Spring St,M,C E,Subway,40.726227,-74.003739,Uptown - Queens,Downtown & Brooklyn
409,409,638,IRT,Lexington Av,Spring St,M,6,Subway,40.722301,-73.997141,Uptown & The Bronx,Downtown
11,611,R16,BMT,Broadway - Brighton,Times Sq - 42 St,M,N Q R W,Subway,40.754672,-73.986754,Uptown & Queens,Downtown & Brooklyn
317,611,127,IRT,Broadway - 7Av,Times Sq - 42 St,M,1 2 3,Subway,40.75529,-73.987495,Uptown & The Bronx,Downtown & Brooklyn
467,611,725,IRT,Flushing,Times Sq - 42 St,M,7,Subway,40.755477,-73.987691,Queens,34 St - Hudson Yards
468,611,902,IRT,Lexington - Shuttle,Times Sq - 42 St,M,S,Subway,40.755983,-73.98622900000001,,Grand Central
117,602,L03,BMT,Canarsie,Union Sq - 14 St,M,L,Subway,40.734789,-73.99073,8 Av,Brooklyn
333,333,230,IRT,Clark St,Wall St,M,2 3,Subway,40.706821000000005,-74.0091,Uptown & The Bronx,Brooklyn
413,413,419,IRT,Lexington Av,Wall St,M,4 5,Subway,40.707557,-74.011862,Uptown & The Bronx,Downtown & Brooklyn
23,635,R27,BMT,Broadway,Whitehall St,M,R W,Subway,40.703087,-74.01299399999999,Uptown & Queens,Brooklyn
